LinkedIn_Link,Status_Connect,Message,Status Message
https://www.linkedin.com/in/jakob-jenkov-4a3a8/,Connected,how are you,Message sent
https://www.linkedin.com/in/rob-colcleugh-38811b12/,Not Connected,how are you,Message not sent
https://www.linkedin.com/in/tim-brady-a9609031/,Pending,how are you,Message not sent
https://www.linkedin.com/in/mattfriesen/,Not Connected,how are you,Message not sent
https://www.linkedin.com/in/ron-wilson-27418512/,Not Connected,how are you,Message not sent
https://www.linkedin.com/in/mrivet/,Not Connected,how are you,Message not sent
https://www.linkedin.com/in/jaimeleverton/,Not Connected,how are you,Message not sent
https://www.linkedin.com/in/gabriellowenberg-7a74ab1b4/,Pending,how are you,Message not sent
https://www.linkedin.com/in/cameron-b-hurst-bb112140/,Not Connected,how are you,Message not sent
https://www.linkedin.com/in/jrbeattie/,Pending,how are you,Message not sent
https://www.linkedin.com/in/typowell/,Not Connected,how are you,Message not sent
https://www.linkedin.com/in/luc-fortin-icd-d-825a102/,Pending,how are you,Message not sent
https://www.linkedin.com/in/paulfarrow1127/,Pending,how are you,Message not sent
https://www.linkedin.com/in/darrell-osadchuk-8b4a2029/,Pending,how are you,Message not sent
https://www.linkedin.com/in/tomkoltai/,Pending,how are you,Message not sent
https://www.linkedin.com/in/kevinhobbs007/,Pending,how are you,Message not sent
